sentence_id,doc_id,sentence_text,vote_count_boilerplate,vote_count_substantive,is_disagreement,judge_label_gpt5_4_mini,judge_label_sonnet4_6,judge_label_qwen3_4b,judge_reason_gpt5_4_mini,judge_reason_sonnet4_6,judge_reason_qwen3_4b,audit_override_label,audit_note,audit_judge_signature
49652,PLTR_Q2-2024,This has always been the secret of Palantir.,1,2,True,substantive,substantive,boilerplate,Reflects on the company's strategy or core approach.,"Reflects management's view on a core strategic attribute of Palantir, conveying attitude about the company's competitive differentiation.",Pronoun-heavy sentence without clear business content reference,,,97b0d184f0de48d6a9320516c2098834525789a4
17544,FAST_Q2-2024,It's Miguel and Tony stepping up international.,1,2,True,boilerplate,substantive,substantive,Brief personnel/role update without business detail.,Identifies specific individuals (Miguel and Tony) stepping up international operations — substantive operational/leadership action.,Mention of specific people stepping up international business,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
5772,AVGO_Q3-2025,"It could be any other, somebody else's Ethernet switches that does it.",1,2,True,substantive,substantive,boilerplate,Refers to a specific product category and business action.,Discusses competitive alternatives (third-party Ethernet switches) in the context of a technology/product strategy discussion.,Vague technical reference without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
54870,WFC_Q4-2023,"We're still -- we're not -- we're past the opening credits, but we're still in the beginning of the movie.",2,1,True,boilerplate,substantive,boilerplate,Metaphorical filler with no concrete business content.,"Expresses management's view on the stage of a business opportunity or cycle, conveying a strategic assessment.",Metaphorical analogy about the call progress (not business content),substantive,,97b0d184f0de48d6a9320516c2098834525789a4
26404,GS_Q2-2024,They can obviously bounce around from time to time.,1,2,True,substantive,substantive,boilerplate,Comments on customer behavior and market volatility.,"References variability in a business metric over time, conveying a risk or expectation about business performance.",Pronoun-heavy sentence without clear business content reference,,,97b0d184f0de48d6a9320516c2098834525789a4
9808,BLK_Q4-2023,Our client needs have always been our compass.,1,2,True,substantive,boilerplate,substantive,States a business principle guiding client needs.,Generic high-level platitude about client focus with no specific business content.,"Manages client needs as business compass, implies strategic focus",substantive,,97b0d184f0de48d6a9320516c2098834525789a4
16360,FAST_Q1-2024,So it gives you a little bit of color into that as well.,1,2,True,substantive,boilerplate,substantive,Refers to business context and adds explanatory color.,Vague filler phrase with no specific business content conveyed.,Refers to business outcomes with implied color on customer experiences and financial results,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
26365,GS_Q2-2024,Or is this something that's just behind closed doors?,1,2,True,boilerplate,substantive,substantive,Vague filler question without business content.,"Q&A question probing whether a business matter is public or private, substantive inquiry about company activity.",Questions business strategy transparency,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
42297,NKE_Q1-2026,We're making certain leverage the entire portfolio.,1,2,True,substantive,substantive,boilerplate,"Refers to leveraging the portfolio, a business action.",States a strategic action/commitment to leverage the entire portfolio.,Vague statement about leveraging portfolio without concrete business action,,,97b0d184f0de48d6a9320516c2098834525789a4
32076,INTC_Q4-2023,"Here at 18A, you're taking on backside power gate all around and high NA.",1,2,True,substantive,substantive,boilerplate,Describes a specific technology/process at 18A.,"Describes specific technical node features (18A, backside power, gate all around, high NA) being undertaken, which is operational/product strategy content.",Pronoun-heavy sentence without clear business topic reference,,,97b0d184f0de48d6a9320516c2098834525789a4
13034,C_Q2-2025,If you could double-click on that in terms of how you're already using these internally?,1,2,True,substantive,substantive,boilerplate,Asks about business usage of the topic internally.,Business-related question asking for detail on internal usage of a specific capability.,Analyst question with conversational filler and vague reference,,,97b0d184f0de48d6a9320516c2098834525789a4
3155,AMD_Q4-2024,I don't think we said strong double digits.,1,2,True,substantive,substantive,boilerplate,Refers to guidance or expectations.,"Clarifies or corrects a prior statement about growth guidance, carrying material business content.",Generic statement about growth expectations,,,97b0d184f0de48d6a9320516c2098834525789a4
49736,PLTR_Q2-2024,We founded this company to be a ray of light to America and our Western allies.,1,2,True,substantive,substantive,boilerplate,States the company's founding mission.,"States the company's founding mission and strategic purpose, revealing management's view of the company's identity and goals.",Generic mission statement without concrete business actions or metrics,,,97b0d184f0de48d6a9320516c2098834525789a4
32417,INTC_Q4-2024,"Analysts - MD and Head of Semiconductors & Semiconductor Equipment Dave, I also wanted to ask about gross margin.",2,1,True,boilerplate,boilerplate,substantive,Analyst introduction and question setup.,"Analyst introduction with role/title followed by a topic mention; primarily an analyst intro transition, boilerplate.","Analyst asks about gross margin, specific business metric",,,97b0d184f0de48d6a9320516c2098834525789a4
11382,C_Q1-2024,And so this is -- we'll continue to do that.,2,1,True,substantive,boilerplate,boilerplate,Refers to continuing a business action.,Vague pronoun-only filler with no identifiable business content; does not convey a specific plan or commitment.,Pronoun-heavy sentence without clear business topic or action,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
40483,JPM_Q3-2025,"I think an interesting thing from my perspective is to think about the narrative starting from the beginning of the year, right?",1,2,True,substantive,substantive,boilerplate,Reflects on the business narrative and year-to-date context.,"Introduces a substantive analytical framing about the year's narrative, previewing business discussion.",Reflective question without concrete business content,,,97b0d184f0de48d6a9320516c2098834525789a4
53524,WFC_Q2-2025,"Listen, I don't think we want to give a specific forecast on how much we intend to do.",1,2,True,substantive,substantive,boilerplate,Discusses forecast guidance.,"Management explicitly declining to provide a specific forecast, which is a substantive statement about guidance policy.",Non-committal statement about forecast without material business content.,,,97b0d184f0de48d6a9320516c2098834525789a4
10805,BLK_Q4-2025,So the base holdings of cash will be elevated as long as the global capital markets continues to grow.,1,2,True,substantive,substantive,boilerplate,Discusses cash holdings and market growth.,States that elevated cash holdings are tied to growth in global capital markets — substantive balance sheet/capital management commentary.,Generic statement about cash holdings without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
23589,FDX_Q3-2026,"As a reminder, they'll be holding their FedEx Freight Investor Day on April 8 in New York City.",1,2,True,boilerplate,substantive,substantive,Event announcement and reminder.,"Announces a specific upcoming investor event (FedEx Freight Investor Day) with date and location, which is material business information.",Specific event announcement with date and location,boilerplate,,97b0d184f0de48d6a9320516c2098834525789a4
40432,JPM_Q3-2025,"Like you can look at whatever, ECI or whatever other government measure of labor cost inflation.",1,2,True,substantive,substantive,boilerplate,"Refers to labor cost inflation, a business metric.","References specific economic indicators (ECI) in context of labor cost inflation discussion, substantive analytical content.",Vague reference to labor cost inflation without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
41339,JPM_Q4-2025,Question Analysts - Senior MD & Senior Research Analyst So I want to ask you on the stablecoin issue.,2,1,True,boilerplate,substantive,boilerplate,Analyst question intro and topic setup.,"Introduces a specific business/regulatory topic (stablecoin issue) as a Q&A question, which is substantive.",Analyst introduction (per edge-case rule),substantive,,97b0d184f0de48d6a9320516c2098834525789a4
18703,FAST_Q3-2024,We haven't had those conversations to budget the CapEx.,1,2,True,substantive,substantive,boilerplate,Mentions CapEx budgeting and related discussions.,"Indicates CapEx budgeting conversations have not occurred, a material capital allocation disclosure.",Indicates lack of budgeting process for CapEx without specific business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
37473,JPM_Q1-2024,So I would say consumer customers are fine.,1,2,True,substantive,substantive,boilerplate,Comments on customer conditions.,Expresses management's assessment of consumer customer health; substantive commentary on customer segment conditions.,Generic statement about customer status without specifics,,,97b0d184f0de48d6a9320516c2098834525789a4
39980,JPM_Q3-2024,We try to grow economies and things like that.,2,1,True,substantive,boilerplate,boilerplate,Mentions a business growth strategy.,"Vague, generic statement with no specific business content or material detail.",Vague statement without specific business content,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
30242,INTC_Q2-2024,"With Panther Lake already powered on, right, is showing good health, that is a product that we start ramping in the second half of next year, right?",1,2,True,substantive,substantive,boilerplate,Discusses a product status and ramp timing.,"Discusses Panther Lake product health and ramp timeline in the second half of next year, a specific product/operational update.","Pronoun-heavy with conversational filler, no clear business topic",,,97b0d184f0de48d6a9320516c2098834525789a4
53980,WFC_Q3-2024,"Because I've heard you in the past several times, and I would assume it's the same today that the asset cap is not keeping you from doing anything that you want to do.",1,2,True,substantive,substantive,boilerplate,Discusses the asset cap's impact on business actions.,Analyst raises a specific business question about whether the asset cap constrains the company's operations — substantive Q&A inquiry.,"Unclear reference to asset cap and client actions, but lacks specific business content",,,97b0d184f0de48d6a9320516c2098834525789a4
25235,GS_Q1-2025,"On capital and regulation more broadly, we appreciate the administration's strong focus on appropriately calibrating regulation for the financial services industry.",1,2,True,substantive,substantive,boilerplate,Comments on regulation affecting the business.,"Management expresses a view on regulatory calibration for financial services, reflecting attitude toward a specific policy matter.",Generic appreciation for administration's regulatory focus,,,97b0d184f0de48d6a9320516c2098834525789a4
37046,JNJ_Q4-2025,"Then finally, in Vision, you see our results in Vision.",1,2,True,substantive,substantive,boilerplate,References results in a specific business segment.,Introduces Vision segment results as a specific business topic for discussion.,"Vision is a generic term for a presentation tool, no specific business content",,,97b0d184f0de48d6a9320516c2098834525789a4
40067,JPM_Q3-2024,"But emphasize the word potential, to Jamie's point.",1,2,True,boilerplate,substantive,substantive,Generic clarification without business content.,"Qualifies a prior business claim about potential, referencing Jamie's point on a specific business topic.",Emphasizes potential as business strategy,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
50129,PLTR_Q2-2025,"Don't tell them about how important the ride has been, how exciting it's been, how much you've enjoyed the ride how much fun it is to send -- to write little e-mails to analysts that spend 20 years learning about software and have been wrong about every quarter.",1,2,True,substantive,substantive,boilerplate,Contains a substantive attitude toward analysts and prior performance.,"Expresses management's attitude and implicit criticism toward analyst coverage, revealing a substantive view about the company's relationship with analysts and its track record.",Conversational filler about analyst communication without business content,,,97b0d184f0de48d6a9320516c2098834525789a4
37239,JNJ_Q4-2025,I know you indicated it will be appealed.,1,2,True,substantive,substantive,boilerplate,Mentions an appeal of a business/legal matter.,"References a legal/regulatory appeal, a material risk or legal development.",Indicates appeal process without business impact,,,97b0d184f0de48d6a9320516c2098834525789a4
38088,JPM_Q1-2025,It may be treasury bills or various other things.,1,2,True,substantive,substantive,boilerplate,Discusses treasury bill or other investment holdings.,"References specific financial instruments (treasury bills) as investment options, substantive capital allocation commentary.",Generic financial instrument reference without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
3520,AMD_Q4-2025,"Different customers do this in different ways, different suppliers do this in different ways.",1,2,True,substantive,substantive,boilerplate,Discusses customer and supplier behavior in business terms.,"Refers to variation in customer and supplier behavior in a business context, conveying operational nuance relevant to strategy or execution discussion.",Generic statement about customer/supplier practices without specific business content,,,97b0d184f0de48d6a9320516c2098834525789a4
21340,FDX_Q1-2026,Just want to get a sense of what that is?,1,2,True,boilerplate,substantive,substantive,Generic question with no business content.,Business-related question in Q&A seeking clarification on a specific metric or topic.,Business question about guidance metric,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
26004,GS_Q1-2026,"So we have success raising across corporate equity strategies, across credit strategies, across real estate, across hedge funds, et cetera, et cetera.",1,2,True,substantive,substantive,boilerplate,Describes fundraising success across strategies.,"Describes fundraising success across multiple specific investment strategies, indicating business performance across segments.",Generic list of investment strategies without specific business outcomes or actions,,,97b0d184f0de48d6a9320516c2098834525789a4
52341,WFC_Q1-2025,"Ray was my first hire when I joined Wells, and I worked with Ray for much of the 38 years we've known each other.",1,2,True,boilerplate,substantive,substantive,Personal introduction and relationship context.,"Specific praise referencing a named individual's long tenure and relationship with the speaker, conveying a substantive personal/professional assessment.",Specific thanks for concrete contribution (Ray's role),substantive,,97b0d184f0de48d6a9320516c2098834525789a4
37650,JPM_Q1-2024,Analysts - Research Analyst You mentioned one use of capital is to lean into the trading businesses with your balance sheet.,1,2,True,boilerplate,substantive,substantive,Analyst intro and restating prior point.,"References a specific capital allocation strategy (leaning into trading businesses with balance sheet), a material business topic.",Specific capital allocation decision mentioned in context of trading businesses,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
34343,JNJ_Q2-2024,"We are currently in a voting period for the plan where, for the first time, claimants are able to vote for themselves for or against the plan.",1,2,True,substantive,substantive,boilerplate,Describes a current voting process for the plan.,Describes an active voting period for a restructuring plan with claimant participation — material legal/operational update.,Process description without business impact or strategic content,,,97b0d184f0de48d6a9320516c2098834525789a4
32361,INTC_Q4-2024,"I mean, for one, we are not looking to spend ahead of success.",1,2,True,substantive,substantive,boilerplate,States a capital allocation policy.,Management states a specific capital allocation or spending philosophy — not spending ahead of success.,Pronoun-heavy with conversational filler,,,97b0d184f0de48d6a9320516c2098834525789a4
19488,FAST_Q4-2023,And I would say that over time -- so I can't speak to -- I don't know what period of time you're hearing about.,2,1,True,substantive,boilerplate,boilerplate,Discusses timing and outlook in response to a business question.,Hedging/deflecting language with no material business content.,Unclear timeframe with hedging language,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
41169,JPM_Q4-2024,"I mean, I think you've kind of answered your own questions, in the sense.",2,1,True,substantive,boilerplate,boilerplate,Addresses the prior question substantively.,Conversational filler acknowledging the analyst's question without adding business content.,Conversational filler without material business content,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
50146,PLTR_Q2-2025,"This is a very special environment, and I'm super proud to somehow ended up being your leader.",1,2,True,substantive,boilerplate,substantive,Personal leadership comment tied to the business context.,Generic personal sentiment and pride with no material business content.,Personal pride in leadership role and company context,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
38481,JPM_Q1-2026,And we always had what we call marketing rights.,1,2,True,substantive,substantive,boilerplate,Refers to a business rights arrangement.,"References a specific contractual/business arrangement (marketing rights), relevant to strategy or deal structure.",Generic marketing rights without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
40649,JPM_Q4-2023,Now let's turn to Page 12 and cover credit and wrap up.,1,2,True,substantive,substantive,boilerplate,Introduces a specific business topic: credit.,Transition that identifies specific topics (credit and wrap-up) to be discussed on a named page.,Process-driving transition without specific business topic,,,97b0d184f0de48d6a9320516c2098834525789a4
3132,AMD_Q4-2024,"And then to the second part of your question, as it relates to ASICs, I really haven't seen a big shift at all in the conversation.",1,2,True,substantive,substantive,boilerplate,Comments on ASIC conversation trends.,Management commentary on ASIC competitive dynamics and lack of shift in customer conversations.,Pronoun-heavy sentence without clear business content; refers to prior conversation without specific action or metric,,,97b0d184f0de48d6a9320516c2098834525789a4
46046,NVDA_Q1-2026,"It's a little bit like the energy infrastructure, electricity.",2,1,True,boilerplate,substantive,boilerplate,Generic analogy without material business content.,Analogy used to characterize a business or market dynamic (energy/electricity infrastructure); conveys a strategic or conceptual point about the business.,Metaphorical comparison without concrete business content,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
4305,AVGO_Q1-2026,"Just clarification, Hock, on the greater than $100 billion.",2,1,True,substantive,boilerplate,boilerplate,Clarification question about a financial figure.,Brief clarification prompt with no material business content; just a conversational setup referencing a figure.,Analyst clarification request without material business content,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
38697,JPM_Q1-2026,I think it's reasonable for people to kind of proceed with their plans in the hope or maybe expectation that we've got relatively quick resolutions.,1,2,True,substantive,substantive,boilerplate,Gives a view on plans amid expected resolutions.,Expresses a view on business planning behavior and expectations around resolution of near-term uncertainties.,Hedging language about expectations without specific business content,,,97b0d184f0de48d6a9320516c2098834525789a4
52214,WFC_Q1-2024,And then everything else is sort of moving around like as you would expect.,2,1,True,substantive,boilerplate,boilerplate,Describes business conditions and movement in operations.,Vague filler sentence with no specific business content or claim.,"Vague, non-specific statement without business content",substantive,,97b0d184f0de48d6a9320516c2098834525789a4
25416,GS_Q1-2025,"Well, first, I'll comment on the macro, Steven.",2,1,True,substantive,boilerplate,boilerplate,Introduces a discussion of macro conditions.,Pure transition/turn-taking phrase directing the conversation without introducing specific business content.,Transition sentence without specific business topic,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
8715,BLK_Q3-2024,"In line with our guidance in January and excluding the impact of Global Infrastructure Partners, Preqin and related transaction costs.",1,2,True,substantive,substantive,boilerplate,References guidance and transaction impacts.,"References specific guidance and named acquisitions (Global Infrastructure Partners, Preqin) affecting financial results.",Describes guidance exclusion without concrete business content,,,97b0d184f0de48d6a9320516c2098834525789a4
43265,NKE_Q2-2026,"I was going to add to it, but you've already embraced your new job, right?",2,1,True,boilerplate,boilerplate,substantive,Personal aside with no business content.,Casual conversational remark with no business content.,Refers to company's new job adoption and past performance assessment,,,97b0d184f0de48d6a9320516c2098834525789a4
41642,JPM_Q4-2025,"When we think about -- there's more updates coming on G-SIB, Basel Endgame probably over the coming months.",1,2,True,substantive,substantive,boilerplate,Mentions upcoming regulatory updates affecting the business.,"References upcoming regulatory updates on G-SIB and Basel Endgame, material risk/regulatory commentary.",Generic market update without specific business action,,,97b0d184f0de48d6a9320516c2098834525789a4
37613,JPM_Q1-2024,And that's a thing that people need to do more or less no matter what.,1,2,True,substantive,substantive,boilerplate,States a general business expectation about actions people need to take.,"Characterizes demand as relatively inelastic or necessity-driven, a substantive market/demand observation.",Generic statement about what people need to do without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
20554,FAST_Q4_2025,Maybe is the fleet refresh in good shape?,1,2,True,substantive,substantive,boilerplate,"Asks about fleet refresh, a business-specific topic.","Business-related question about the status of fleet refresh, a substantive operational topic.",Pronoun-heavy question without clear business context,,,97b0d184f0de48d6a9320516c2098834525789a4
9208,BLK_Q3-2025,We all have the same interest as significant shareholders alongside our broader shareholder base.,1,2,True,substantive,substantive,boilerplate,States shareholder alignment and interests.,"Expresses management's alignment of interests with shareholders as significant shareholders, a capital/governance stance.","Generic statement about shared interest with shareholders, no specific business content",,,97b0d184f0de48d6a9320516c2098834525789a4
51922,WFC_Q1-2024,"The table on the page shows the allowance for credit losses coverage ratio for commercial real estate, including the breakdown of the office portfolio.",1,2,True,boilerplate,substantive,substantive,Refers only to a table on the page.,Directs attention to specific financial data — allowance for credit losses coverage ratio for commercial real estate including office portfolio breakdown.,Provides detailed financial metric breakdown for credit risk management.,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
35449,JNJ_Q3-2025,"Joaquin Duato, our Chairman and CEO, will discuss our business performance and growth drivers.",2,1,True,boilerplate,substantive,boilerplate,Speaker introduction and topic handoff.,"Identifies specific topics (business performance and growth drivers) to be discussed by the CEO, making it a substantive transition.",Analyst/speaker introduction,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
1006,AMD_Q2-2024,"Analysts - MD and Head of Semiconductors & Semiconductor Equipment Lisa, I wanted to ask about the Data Center GPU road map.",1,2,True,substantive,substantive,boilerplate,Asks about the Data Center GPU roadmap.,Analyst question about the Data Center GPU road map — specific product/strategy topic.,Analyst introduction and question framing,,,97b0d184f0de48d6a9320516c2098834525789a4
41605,JPM_Q4-2025,"But real estate is a very small number, so we shouldn't [indiscernible].",1,2,True,substantive,substantive,boilerplate,Comments on real estate exposure and business impact.,"Provides a business assessment that real estate exposure is immaterial, which is a risk/portfolio commentary.",Indiscernible phrase with no clear business content,,,97b0d184f0de48d6a9320516c2098834525789a4
39994,JPM_Q3-2024,And so I'm just -- we're just quite patient in that.,2,1,True,substantive,boilerplate,boilerplate,Comments on business patience and timing.,Vague filler expressing patience without any specific business context or content.,Pronoun-heavy sentence without clear business content reference,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
55949,WFC_Q4-2025,Now that we can compete more effectively with the asset cap gone.,1,2,True,substantive,substantive,boilerplate,Refers to improved competitiveness after the asset cap ended.,"References ability to compete more effectively following removal of asset cap, a material strategic development.",Unclear reference to asset cap; likely boilerplate transition,,,97b0d184f0de48d6a9320516c2098834525789a4
54373,WFC_Q3-2025,"So I think hopefully, that will continue.",2,1,True,substantive,boilerplate,boilerplate,Expresses an expectation about business performance continuing.,Vague forward-looking filler with no specific business content or referent.,Generic continuation statement without specific business content,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
13249,C_Q2-2025,"And then as you would imagine that, that severance was -- is in place for employees that are leaving.",1,2,True,substantive,substantive,boilerplate,Mentions severance for departing employees.,"Explains that severance is tied to departing employees, providing context on a specific cost item and workforce action.",Generic statement about severance for employees leaving,,,97b0d184f0de48d6a9320516c2098834525789a4
31556,INTC_Q3-2025,So we're off to an even better start on 14A.,1,2,True,substantive,substantive,boilerplate,Indicates a strong start to the period.,"Reports a performance update on a specific product/program (14A), indicating a better-than-expected start.",Generic phrase without specific business content,,,97b0d184f0de48d6a9320516c2098834525789a4
17525,FAST_Q2-2024,"Third, take a look at the flipbook, talk a little bit about the quarter.",1,2,True,substantive,substantive,boilerplate,Introduces discussion of the quarter's results.,"Transition sentence that names a specific topic (quarterly results/flipbook discussion), making it substantive.",Generic transition without specific business topic,,,97b0d184f0de48d6a9320516c2098834525789a4
2248,AMD_Q3-2025,And I think all of this is going to be tight.,1,2,True,substantive,substantive,boilerplate,Comments on business conditions and outlook.,"Expresses a forward-looking assessment about tightness in supply/demand or capacity, carrying a business implication.",Pronoun-heavy sentence without clear business content reference,,,97b0d184f0de48d6a9320516c2098834525789a4
37914,JPM_Q1-2025,"And then you're going to hear 1,000 companies report, and they're going to tell you what their guidance is.",1,2,True,substantive,substantive,boilerplate,"Refers to companies reporting guidance, a business topic.","References upcoming guidance disclosures from many companies, providing context about market-wide guidance expectations relevant to business outlook discussion.",Generic statement about companies reporting guidance without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
37657,JPM_Q1-2024,"So he's just pointing out that, that's an option that you have.",1,2,True,substantive,substantive,boilerplate,Refers to a business option available to the company.,References a specific strategic or financial option available to the company in a Q&A context.,Repetitive phrasing without concrete business content,,,97b0d184f0de48d6a9320516c2098834525789a4
53601,WFC_Q2-2025,"And so loan growth, depending on the outside of card has been a little bit slower.",1,2,True,substantive,substantive,boilerplate,Discusses loan growth performance.,"Discusses loan growth trends outside of card, a specific financial/operational observation.",Unclear reference to loan growth and card outside; likely conversational filler,,,97b0d184f0de48d6a9320516c2098834525789a4
22634,FDX_Q3-2024,"And with regard to your question on surface, it's predominantly Ground.",1,2,True,substantive,substantive,boilerplate,Answers a business question about surface mix.,"Answers a specific question about surface mix, indicating the business is predominantly Ground, which is operational detail.",Generic response to question without specific business content,,,97b0d184f0de48d6a9320516c2098834525789a4
35950,JNJ_Q4-2023,"Additionally, several of the products and compounds discussed today are being developed in collaboration with strategic partners or licensed from other companies.",1,2,True,substantive,boilerplate,substantive,Discusses product development and partnerships.,Legal/disclosure disclaimer about collaborative development and licensing arrangements.,Mentions specific business activity (collaboration/licensing) with strategic partners,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
4773,AVGO_Q2-2024,There are a few memory makers who make this specialized thing.,1,2,True,substantive,substantive,boilerplate,Refers to a specialized business product and suppliers.,"Comments on competitive supply landscape for specialized memory, relevant to market/product strategy discussion.",Vague reference to 'memory makers' without specific business context,,,97b0d184f0de48d6a9320516c2098834525789a4
16728,FAST_Q1-2025,I'll give you a little historical perspective.,2,1,True,boilerplate,boilerplate,substantive,Generic transition to historical context.,Generic transition phrase with no specific business content.,Provides historical perspective on business context,,,97b0d184f0de48d6a9320516c2098834525789a4
38614,JPM_Q1-2026,"And I remind people, it's not that different when you go to Home Depot, they have inventory.",1,2,True,substantive,substantive,boilerplate,Makes a business comparison about inventory and retail operations.,"Analogy used to explain or defend a business practice (inventory management), conveying a substantive operational point.",Generic comparison to Home Depot without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
48141,NVDA_Q4-2024,"Within those two constraints, within those two pillars, if you will, are the restrictions.",1,2,True,substantive,substantive,boilerplate,Refers to business constraints and restrictions.,Describes the structure of restrictions within two specific pillars/constraints — substantive commentary on policy or regulatory framework governing the business.,Vague constraints without business specifics,,,97b0d184f0de48d6a9320516c2098834525789a4
737,AMD_Q1-2025,So that was factored in to our TAM expectation when we talked about $500 billion.,1,2,True,substantive,substantive,boilerplate,References TAM expectation and prior guidance.,References a specific $500 billion TAM expectation and confirms a factor was incorporated into that estimate.,Mentions data source without business context or action,,,97b0d184f0de48d6a9320516c2098834525789a4
37885,JPM_Q1-2025,So that's mechanically just flowing through the curve.,1,2,True,substantive,substantive,boilerplate,Explains a financial/operational mechanism.,"Describes a mechanical financial/market dynamic flowing through the curve, conveying a specific operational or financial explanation.",Mechanically flowing through the curve (process description),,,97b0d184f0de48d6a9320516c2098834525789a4
1373,AMD_Q2-2025,"Question Analysts - Research Analyst Lisa, I want to start on the Client business.",1,2,True,boilerplate,substantive,substantive,Analyst introduction and topic setup.,Introduces a specific business topic (Client business) for Q&A discussion.,Analyst starts question on Client business (business topic),substantive,,97b0d184f0de48d6a9320516c2098834525789a4
21897,FDX_Q2-2025,"Well, it is very early for us to comment on something like that.",2,1,True,substantive,boilerplate,boilerplate,Comments on timing of a business-related issue.,Vague deflection with no business content conveyed.,Generic statement about early stage comments,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
15619,C_Q4-2024,Just this is your first full year of having the five line of business structure.,1,2,True,substantive,substantive,boilerplate,Refers to the company’s business structure and timing.,"References the company's five line of business structure and its first full year, a specific operational/strategic milestone.",Pronoun-heavy sentence without clear business context,,,97b0d184f0de48d6a9320516c2098834525789a4
47077,NVDA_Q3-2025,The transforming executing graphics to igniting the AI revolution.,1,2,True,substantive,substantive,boilerplate,Marketing/strategy statement about graphics and AI.,"Describes a strategic narrative shift from graphics to AI, reflecting company positioning.",Non-sequitur phrase without clear business context,,,97b0d184f0de48d6a9320516c2098834525789a4
55728,WFC_Q4-2025,And so -- and we're not seeing any substantial like change in trend relative to what we expected.,1,2,True,substantive,substantive,boilerplate,Comments on trend changes versus expectations.,States no substantial change in trend versus expectations — a business performance assessment relevant to guidance/outlook.,Conversational filler without business content,,,97b0d184f0de48d6a9320516c2098834525789a4
46753,NVDA_Q2-2026,"It thinks and does a plan, and it might use tools.",2,1,True,boilerplate,substantive,boilerplate,"Vague, non-business filler statement.","Describes functional behavior of an AI agent (planning and tool use), which is product/technology operational detail.",Pronoun-heavy sentence without clear business context or claim,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
53102,WFC_Q2-2024,And that lever is -- continues to be exactly what it's been.,1,2,True,substantive,substantive,boilerplate,Refers to an ongoing business lever and its status.,Refers to a specific business lever continuing to function as before — carries an implication about ongoing strategy or operational dynamic.,Generic statement about lever without business context,,,97b0d184f0de48d6a9320516c2098834525789a4
55746,WFC_Q4-2025,"But again, it doesn't attract a lot of capital or bring with it.",1,2,True,substantive,substantive,boilerplate,Comments on capital attraction.,"Commentary on capital attraction characteristics of a business area, conveying a business implication or risk assessment.",Vague reference to capital without concrete business context,,,97b0d184f0de48d6a9320516c2098834525789a4
19941,FAST_Q4-2024,We'll be sending out invites to the event over the next week.,2,1,True,boilerplate,boilerplate,substantive,Generic event logistics.,Administrative notice about sending event invites; no material business content.,Announces upcoming business event invitation process,,,97b0d184f0de48d6a9320516c2098834525789a4
34790,JNJ_Q2-2025,Turning to other notable items on the P&L.,1,2,True,boilerplate,substantive,substantive,Generic transition to another topic.,Transition sentence that identifies a specific financial topic (notable P&L items) about to be discussed.,Transition to P&L discussion with business context,substantive,,97b0d184f0de48d6a9320516c2098834525789a4
16494,FAST_Q1-2024,I see how that would make a lot of sense.,2,1,True,boilerplate,boilerplate,substantive,Generic conversational response.,Generic conversational acknowledgment with no business content.,Acknowledges business logic with implied strategic relevance,,,97b0d184f0de48d6a9320516c2098834525789a4
12971,C_Q2-2025,"I think last year, you kind of fell half that.",1,2,True,substantive,substantive,boilerplate,Refers to prior-year business performance.,"References a prior year's performance metric (falling by roughly half), a substantive business result comparison.","Unclear reference, likely conversational filler without clear business content",,,97b0d184f0de48d6a9320516c2098834525789a4
34420,JNJ_Q2-2024,Question Analysts - Senior Analyst Maybe just a question on RYBREVANT.,2,1,True,boilerplate,substantive,boilerplate,Analyst question intro with no business content.,"Analyst question about a specific product (RYBREVANT), constituting a business-related inquiry.",Analyst question intro (per edge-case rule),substantive,,97b0d184f0de48d6a9320516c2098834525789a4
